Method,Silhouette,DaviesBouldin,CalinskiHarabasz,Dunn,SDIndex,XieBeni,ARI,NMI,Homogeneity,Completeness,VMeasure,FMI,Purity
KMeans,0.26751139161896104,1.6417101426720018,97.00733817129884,0.0945810679660197,0.9678402782696623,4.855318529160348,0.5923505323592974,0.7523352001311545,0.687484606120754,0.8306948523096025,0.7523352001311545,0.6985099587207446,0.7060518731988472
MiniBatchKMeans,0.16531236005192768,1.8279973018788667,74.66140762290858,0.05350288593915046,0.766093389414996,8.431856110336117,0.3860729550939084,0.5728091994737644,0.5076151166662701,0.6572169638553005,0.5728091994737644,0.5368991714998935,0.5561959654178674
Hierarchical,0.2695802766897313,1.7425286648063991,105.41003610413557,0.10303016944467212,1.1837260334328288,5.074505607092963,0.6291256416636151,0.7818324696306925,0.7033544461503544,0.8800225511946586,0.7818324696306925,0.7319947377862576,0.7089337175792507
GMM,0.26751139161896104,1.6417101426720018,97.00733817129884,0.0945810679660197,0.9678402782696623,4.855318529160348,0.5923505323592974,0.7523352001311545,0.687484606120754,0.8306948523096025,0.7523352001311545,0.6985099587207446,0.7060518731988472
Spectral,0.20623514153775807,1.7388006919355063,83.48009804124425,0.08707357990906818,0.9150353769968754,7.33315502429358,0.7258342479148951,0.8228746766389379,0.785605150504289,0.8638564878314343,0.8228746766389378,0.7867005717906389,0.8155619596541787
Birch,0.2695802766897313,1.7425286648063991,105.41003610413557,0.10303016944467212,1.1837260334328288,5.074505607092963,0.6291256416636151,0.7818324696306925,0.7033544461503544,0.8800225511946586,0.7818324696306925,0.7319947377862576,0.7089337175792507
Affinity,0.1370412995516318,1.0960203352115099,54.74763762605979,0.10792235573412429,0.7276510522644755,6.549279999828934,0.5472066025944325,0.7419259856370569,0.9126865252848004,0.6249920939993,0.7419259856370568,0.6327420978693931,0.9538904899135446
DBSCAN,,,,,,,0.0,0.0,0.0,1.0,0.0,0.4222454454520034,0.0
HDBSCAN,0.462412113507953,1.9895072262757119,161.34971511708062,0.23169682631355562,1.5286732702363979,3.5870587193405017,0.34585859576141126,0.5405690905948087,0.4017589850333276,0.8259342637777327,0.5405690905948086,0.5744864895816687,0.42363112391930835
SOM,0.08407741471748481,1.3409645702011261,29.83669403728174,0.07684033847938011,0.618856637522657,4.157574588767085,0.1509092954718457,0.5990524666935326,0.9931708422818544,0.4288661911684486,0.5990524666935327,0.3118728462518797,0.9942363112391931
